case_key,case_id,case_name,application_numbers,application_numbers_count,primary_application_number,judgment_date_raw,judgment_year,hudoc_itemid,hudoc_importance_level,hudoc_importance_bucket,is_key_case,convention_articles,keywords,respondent_states,summary_text,citation_example,all_citation_variants_count,snapshots_count,guides_count,guide_ids,guide_titles,first_seen_snapshot_timestamp,last_seen_snapshot_timestamp,first_seen_snapshot_pdf,last_seen_snapshot_pdf,hudoc_match_status,hudoc_match_method,hudoc_query_value,hudoc_query_result_count,hudoc_docname,hudoc_appno,hudoc_doctype,hudoc_languageisocode,hudoc_kpdate,hudoc_kpdateastext,hudoc_originatingbody,hudoc_ecli,hudoc_conclusion
apps:7144/15,7144/15,A and B v. Croatia,7144/15,1,7144/15,20 June 2019,2019,001-194217,4,,,3|8|8-1,,HRV,,"A and B v. Croatia, no. 7144/15, 20 June 2019",1,22,4,154b01c3289a|8ad6b528df3f|99cd2ce32cf8|acdaf72cea98,Article 3|Article 34/35|Article 8|Rights of the child,20230627221844,20260215111534,20230627221844__Admissibility_guide_ENG.pdf,20260215111534__guide_art_8_eng.pdf,matched,exact_application_set,7144/15,5,CASE OF A AND B v. CROATIA,7144/15,HEJUD,ENG,2019-06-20T00:00:00,20/06/2019 00:00:00,4,ECLI:CE:ECHR:2019:0620JUD000714415,No violation of Article 3 - Prohibition of torture (Article 3 - Effective investigation) (Procedural aspect);No violation of Article 8 - Right to respect for private and family life (Article 8-1 - Respect for private life) (Procedural aspect)
apps:12482/21,12482/21,A and B v. France,12482/21,1,12482/21,8 June 2023,2023,001-225384,3,,,34|8|8-1|8-2,,FRA,,"A and B v. France, no. 12482/21, 8 June 2023",1,3,1,8ad6b528df3f,Rights of the child,20241205111155,20250601155424,20241205111155__guide_rights_of_the_child_eng.pdf,20250601155424__guide_rights_of_the_child_eng.pdf,matched,exact_application_set,12482/21,4,CASE OF A AND B v. FRANCE,12482/21,HEJUD,ENG,2023-06-08T00:00:00,08/06/2023 00:00:00,23,ECLI:CE:ECHR:2023:0608JUD001248221,Remainder inadmissible (Article 34 - Victim);No violation of Article 8 - Right to respect for private and family life (Article 8-1 - Respect for private life)
name:a and b v france::2023,,A and B v. France,,0,,8 June 2023,2023,001-225384,3,,,34|8|8-1|8-2,,FRA,,"A and B v. France, 8 June 2023",1,6,1,99cd2ce32cf8,Article 8,20240217085228,20260215111534,20240217085228__guide_art_8_eng.pdf,20260215111534__guide_art_8_eng.pdf,matched,exact_name_and_year,A and B v. France,50,CASE OF A AND B v. FRANCE,12482/21,HEJUD,ENG,2023-06-08T00:00:00,08/06/2023 00:00:00,23,ECLI:CE:ECHR:2023:0608JUD001248221,Remainder inadmissible (Article 34 - Victim);No violation of Article 8 - Right to respect for private and family life (Article 8-1 - Respect for private life)
apps:73975/16,73975/16,A. and B. v. Georgia,73975/16,1,73975/16,10 February 2022,2022,001-215716,3,,,2|2-1|14|14+2|34|41,,GEO,,"A. and B. v. Georgia, no. 73975/16, 10 February 2022",2,21,3,154b01c3289a|415c8994e0ed|e12c697e461c,Article 14|Article 2|Article 34/35,20230627221844,20251215180904,20230627221844__Admissibility_guide_ENG.pdf,20251215180904__guide_art_2_eng.pdf,matched,exact_application_set,73975/16,6,CASE OF A AND B v. GEORGIA,73975/16,HEJUD,ENG,2022-02-10T00:00:00,10/02/2022 00:00:00,23,ECLI:CE:ECHR:2022:0210JUD007397516,Preliminary objection joined to merits and dismissed (Art. 34) Individual applications;(Art. 34) Victim;Violation of Article 14+2 - Prohibition of discrimination (Article 14 - Discrimination) (Article 2 - Right to life;Article 2-1 - Effective investigation);Violation of Article 14+2 - Prohibition of discrimination (Article 14 - Discrimination) (Article 2-1 - Life;Article 2 - Right to life);Non-pecuniary damage - award (Article 41 - Non-pecuniary damage;Just satisfaction)
apps:4986/24,4986/24,A and B v. Malta,4986/24,1,4986/24,24 June 2025,2025,001-243783,3,,,35|35-3-a|6|6-1|8|8-1,,MLT,,"A and B v. Malta, no. 4986/24, 24 June 2025",1,1,1,96d370a07ab1,Article 6 Civil,20260217135653,20260217135653,20260217135653__guide_art_6_civil_eng.pdf,20260217135653__guide_art_6_civil_eng.pdf,matched,exact_application_set,4986/24,3,CASE OF A AND B v. MALTA,4986/24,HEJUD,ENG,2025-06-24T00:00:00,24/06/2025 00:00:00,7,ECLI:CE:ECHR:2025:0624JUD000498624,Remainder inadmissible (Art. 35) Admissibility criteria;(Art. 35-3-a) Ratione personae;No violation of Article 6 - Right to a fair trial (Article 6 - Civil proceedings;Article 6-1 - Impartial tribunal);No violation of Article 8 - Right to respect for private and family life (Article 8-1 - Respect for family life)
apps:24130/11|29758/11,24130/11|29758/11,A and B v. Norway [GC],24130/11|29758/11,2,24130/11,15 November 2016,2016,001-168972,1,,,P7-4,,NOR,,"A and B v. Norway [GC], nos. 24130/11 and 29758/11, 15 November 2016",1,6,2,6d86f7b0f9c7|d24a9ac722de,Article 4 Protocol 7|ECHR / EU,20230923164453,20251029024721,20230923164453__guide_art_4_protocol_7_eng.pdf,20251029024721__guide_art_4_protocol_7_eng.pdf,matched,exact_application_set,24130/11|29758/11,21,CASE OF A AND B v. NORWAY,24130/11;29758/11,HEJUD,ENG,2016-11-15T00:00:00,15/11/2016 00:00:00,8,ECLI:CE:ECHR:2016:1115JUD002413011,No violation of Article 4 of Protocol No. 7 - Right not to be tried or punished twice-{general} (Article 4 of Protocol No. 7 - Right not to be tried or punished twice;Criminal offence)
apps:48442/16|48831/16,48442/16|48831/16,A and B v. Romania,48442/16|48831/16,2,48442/16,2 June 2020,2020,001-202621,1,,,2|2-1|35|35-1|35-3-a,,ROU,,"A and B v. Romania, nos. 48442/16 and 48831/16, 2 June 2020",1,7,1,415c8994e0ed,Article 2,20230923024152,20251215180904,20230923024152__guide_art_2_eng.pdf,20251215180904__guide_art_2_eng.pdf,matched,exact_application_set,48442/16|48831/16,9,CASE OF A AND B v. ROMANIA,48442/16;48831/16,HEJUD,ENG,2020-06-02T00:00:00,02/06/2020 00:00:00,7,ECLI:CE:ECHR:2020:0602JUD004844216,Preliminary objections dismissed (Art. 35) Admissibility criteria;(Art. 35-1) Exhaustion of domestic remedies;(Art. 35-3-a) Abuse of the right of application;No violation of Article 2 - Right to life (Article 2 - Positive obligations;Article 2-1 - Life) (Substantive aspect)
apps:51776/08,51776/08,A. and Others v. Bulgaria,51776/08,1,51776/08,29 November 2011,2011,001-107626,3,,,5|5-1|5-4|41,,BGR,,"A. and Others v. Bulgaria, no. 51776/08, 29 November 2011",1,3,1,22935893a6e6,Article 5,20230923032746,20251128111224,20230923032746__guide_art_5_eng.pdf,20251128111224__guide_art_5_eng.pdf,matched,exact_application_set,51776/08,5,CASE OF A. AND OTHERS v. BULGARIA,51776/08,HEJUD,ENG,2011-11-29T00:00:00,29/11/2011 00:00:00,7,ECLI:CE:ECHR:2011:1129JUD005177608,Remainder inadmissible;Violation of Art. 5-1;Violation of Art. 5-4;Non-pecuniary damage - award
name:a and others v denmark::1996,,A. and Others v. Denmark,,0,,8 February 1996,1996,001-57969,4,,,6|6-1|41,,DNK,,"A. and Others v. Denmark, 8 February 1996, Reports of Judgments and Decisions 1996-I",1,4,1,96d370a07ab1,Article 6 Civil,20240218053355,20260217135653,20240218053355__guide_art_6_civil_eng.pdf,20260217135653__guide_art_6_civil_eng.pdf,matched,exact_name_and_year,docname_raw:A. and Others v. Denmark || text_clean:A. and Others v. Denmark,28,CASE OF A AND OTHERS v. DENMARK,20826/92,HEJUD,ENG,1996-02-08T00:00:00,08/02/1996 00:00:00,9,ECLI:CE:ECHR:1996:0208JUD002082692,"Violation of Art. 6-1 (A, Eg, C, D, E, F and G);No violation of Art. 6-1 (Feldskov and Lykkeskov Jacobsen);Non-pecuniary damage - financial award;Costs and expenses partial award - Convention proceedings"
apps:25133/20|31856/20,25133/20|31856/20,A and Others v. Iceland,25133/20|31856/20,2,25133/20,15 November 2022,2022,001-220885,3,,,8|8-1|8-2|35|35-3-a,,ISL,,"A and Others v. Iceland, nos. 25133/20 and 31856/20, 15 November 2022",1,10,2,8ad6b528df3f|99cd2ce32cf8,Article 8|Rights of the child,20230923050459,20260215111534,20230923050459__guide_art_8_eng.pdf,20260215111534__guide_art_8_eng.pdf,matched,exact_application_set,25133/20|31856/20,5,CASE OF A AND OTHERS v. ICELAND,25133/20;31856/20,HEJUD,ENG,2022-11-15T00:00:00,15/11/2022 00:00:00,6,ECLI:CE:ECHR:2022:1115JUD002513320,Preliminary objection joined to merits and dismissed (Art. 35) Admissibility criteria;(Art. 35-3-a) Ratione personae;Remainder inadmissible (Art. 35) Admissibility criteria;(Art. 35-3-a) Ratione personae;No violation of Article 8 - Right to respect for private and family life (Article 8-1 - Respect for family life)
apps:17791/22,17791/22,A and Others v. Italy,17791/22,1,17791/22,7 September 2023,2023,001-226595,3,,,8|8-1|41,,ITA,,"A and Others v. Italy, no. 17791/22, 7 September 2023",1,5,1,99cd2ce32cf8,Article 8,20240618070506,20260215111534,20240618070506__guide_art_8_eng.pdf,20260215111534__guide_art_8_eng.pdf,matched,exact_application_set,17791/22,4,CASE OF A AND OTHERS v. ITALY,17791/22,HEJUD,ENG,2023-09-07T00:00:00,07/09/2023 00:00:00,4,ECLI:CE:ECHR:2023:0907JUD001779122,Violation of Article 8 - Right to respect for private and family life (Article 8-1 - Respect for family life);Non-pecuniary damage - award (Article 41 - Non-pecuniary damage;Just satisfaction)
apps:13750/88,13750/88,A. and Others v. Spain,13750/88,1,13750/88,2 July 1990,1990,001-82944,4,,,11,,ESP,,"A. and Others v. Spain, no. 13750/88, Commission decision of 2 July 1990, Decisions and Reports 66, p. 188",1,4,1,684d373b17e9,Article 11,20230923090652,20251210133318,20230923090652__guide_art_11_eng.pdf,20251210133318__guide_art_11_eng.pdf,matched,exact_application_set,13750/88,2,v. ESPAGNE,13750/88,HEDEC,ENG,1990-07-02T00:00:00,02/07/1990 00:00:00,21,ECLI:CE:ECHR:1990:0702DEC001375088,Inadmissible
apps:3455/05,3455/05,A. and Others v. the United Kingdom [GC],3455/05,1,3455/05,,2009,001-91403,1,,,3|5|5-1|5-1-f|5-4|5-5|13|15|15-1|41|13+3,,GBR,,"A. and Others v. the United Kingdom [GC], no. 3455/05, ECHR 2009",1,19,5,1d874b186d3e|22935893a6e6|acdaf72cea98|e19a063de5b3|e8704f851a2b,Article 15|Article 3|Article 5|Immigration|Terrorism,20230911235803,20251224191756,20230911235803__guide_art_3_eng.pdf,20251224191756__guide_art_3_eng.pdf,matched,exact_application_set,3455/05,29,CASE OF A. AND OTHERS v. THE UNITED KINGDOM,3455/05,HEJUD,ENG,2009-02-19T00:00:00,19/02/2009 00:00:00,8,ECLI:CE:ECHR:2009:0219JUD000345505,No violation of Art. 3;No violation of Art. 13+3;Preliminary objection rejected (Government not precluded from raising defence under Art. 5-1-f or claiming that the derogation under Article 15 was invalid);No violation of Art. 5-1;Violation of Art. 5-1;Violation of Art. 5-4;No violation of Art. 5-4;Violation of Art. 5-5;Remainder inadmissible;Pecuniary and non-pecuniary damage - award
apps:25579/05,25579/05,"A, B and C v. Ireland [GC]",25579/05,1,25579/05,,2010,001-102332,1,,,8|8-1|8-2|35|35-1|41,,IRL,,"A, B and C v. Ireland [GC], no. 25579/05, ECHR 2010",2,24,4,154b01c3289a|8ad6b528df3f|99cd2ce32cf8|cfca8cb0bbc6,Article 34/35|Article 8|Rights of the child|Social rights,20230627221844,20260215111534,20230627221844__Admissibility_guide_ENG.pdf,20260215111534__guide_art_8_eng.pdf,matched,exact_application_set,25579/05,22,"CASE OF A, B AND C  v. IRELAND",25579/05,HEJUD,ENG,2010-12-16T00:00:00,16/12/2010 00:00:00,8,ECLI:CE:ECHR:2010:1216JUD002557905,Preliminary objection joined to merits and dismissed (non-exhaustion of domestic remedies);Remainder inadmissible;No violation of Art. 8;Violation of Art. 8;Non-pecuniary damage - award
apps:30808/11,30808/11,"A, B and C v. Latvia",30808/11,1,30808/11,31 March 2016,2016,001-161741,3,,,3|8|8-1|34,,LVA,,"A, B and C v. Latvia, no. 30808/11, 31 March 2016",1,10,2,8ad6b528df3f|99cd2ce32cf8,Article 8|Rights of the child,20230923050459,20260215111534,20230923050459__guide_art_8_eng.pdf,20260215111534__guide_art_8_eng.pdf,matched,exact_application_set,30808/11,3,"CASE OF A, B AND C v. LATVIA",30808/11,HEJUD,ENG,2016-03-31T00:00:00,31/03/2016 00:00:00,23,ECLI:CE:ECHR:2016:0331JUD003080811,Preliminary objection joined to merits and dismissed (Article 34 - Victim);No violation of Article 8 - Right to respect for private and family life (Article 8 - Positive obligations;Article 8-1 - Respect for private life)
apps:11593/12,11593/12,A.B. and Others v. France,11593/12,1,11593/12,12 July 2016,2016,001-165262,3,,,3|5|5-1|5-1-f|5-4|8|8-1|8-2|41,,FRA,,"A.B. and Others v. France, no. 11593/12, 12 July 2016",1,31,7,22935893a6e6|7ff3d5fc46dd|8ad6b528df3f|99cd2ce32cf8|a94e3bc7e2bf|cfca8cb0bbc6|e19a063de5b3,Article 13|Article 5|Article 8|Immigration|Prisoners' rights|Rights of the child|Social rights,20230911235824,20260215111534,20230911235824__guide_art_13_eng.pdf,20260215111534__guide_art_8_eng.pdf,matched,exact_application_set,11593/12,12,CASE OF A.B. AND OTHERS v. FRANCE [Extracts],11593/12,HEJUD,ENG,2016-07-12T00:00:00,12/07/2016 00:00:00,23,ECLI:CE:ECHR:2016:0712JUD001159312,Violation of Article 3 - Prohibition of torture (Article 3 - Degrading treatment;Inhuman treatment) (Substantive aspect);Violation of Article 5 - Right to liberty and security (Article 5-1 - Deprivation of liberty;Article 5-1-f - Expulsion);Violation of Article 5 - Right to liberty and security (Article 5-4 - Review of lawfulness of detention;Speediness of review);Violation of Article 8 - Right to respect for private and family life (Article 8-1 - Respect for family life);Non-pecuniary damage - award (Article 41 - Non-pecuniary damage;Just satisfaction)
apps:2559/23,2559/23,A.B. and Y.W. v. Malta*,2559/23,1,2559/23,4 February 2025,2025,001-241572,3,,,35|35-1|3,,MLT,,"A.B. and Y.W. v. Malta*, no. 2559/23, 4 February 2025",2,2,1,e19a063de5b3,Immigration,20250602002516,20251122094224,20250602002516__guide_immigration_eng.pdf,20251122094224__guide_immigration_eng.pdf,matched,exact_application_set,2559/23,5,CASE OF A.B. AND Y.W. v. MALTA,2559/23,HEJUD,ENG,2025-02-04T00:00:00,04/02/2025 00:00:00,7,ECLI:CE:ECHR:2025:0204JUD000255923,Preliminary objection joined to merits and dismissed (Art. 35) Admissibility criteria;(Art. 35-1) Exhaustion of domestic remedies;Violation of Article 3 - Prohibition of torture (Article 3 - Expulsion) (Conditional) (China)
apps:37328/97,37328/97,A.B. v. the Netherlands,37328/97,1,37328/97,29 January 2002,2002,001-60019,2,,,8|8-1|8-2|13|35|35-1|41,,NLD,,"A.B. v. the Netherlands, no. 37328/97, 29 January 2002",1,21,4,7ff3d5fc46dd|99cd2ce32cf8|a94e3bc7e2bf|d5256ad78e38,Article 13|Article 8|Data protection|Prisoners' rights,20230911235824,20260215111534,20230911235824__guide_art_13_eng.pdf,20260215111534__guide_art_8_eng.pdf,matched,exact_application_set,37328/97,9,CASE OF A.B. v. THE NETHERLANDS,37328/97,HEJUD,ENG,2002-01-29T00:00:00,29/01/2002 00:00:00,5,ECLI:CE:ECHR:2002:0129JUD003732897,Preliminary objection dismissed (non-exhaustion);Violation of Art. 8 in respect of control of correspondence with the Commission and with lawyer;No violation of Art. 8 in respect of other correspondence;Violation of Art. 13
apps:33878/96,33878/96,A. B. v. Poland (dec.),33878/96,1,33878/96,13 March 2003,2003,001-44112,2,,,6|6-1|8|8-1|35|35-3|35-1|P4-3,,POL,,"A. B. v. Poland (dec.), no. 33878/96, 13 March 2003",1,4,1,5781b5a45c98,Article 3 Protocol 4,20230923154428,20240930065655,20230923154428__guide_art_3_protocol_4_eng.pdf,20240930065655__guide_art_3_protocol_4_eng.pdf,matched,exact_application_set,33878/96,6,A.B. contre la POLOGNE,33878/96,HFDEC,FRE,2003-03-13T00:00:00,13/03/2003 00:00:00,6,ECLI:CE:ECHR:2003:0313DEC003387896,Partiellement recevable;Partiellement irrecevable
apps:56925/08,56925/08,A.B. v. Switzerland,56925/08,1,56925/08,1 July 2014,2014,001-145457,3,,,10|10-1|10-2,,CHE,,"A.B. v. Switzerland, no. 56925/08, 1 July 2014",3,27,5,1900da194ee4|4026b1621d4a|99cd2ce32cf8|b8a991ab1181|d5256ad78e38,Article 10|Article 6 Criminal|Article 8|Data protection|Mass protests,20230911235812,20260217143525,20230911235812__guide_art_6_criminal_eng.pdf,20260217143525__guide_art_6_criminal_eng.pdf,matched,exact_application_set,56925/08,25,CASE OF A.B. v. SWITZERLAND,56925/08,HEJUD,ENG,2014-07-01T00:00:00,01/07/2014 00:00:00,5,ECLI:CE:ECHR:2014:0701JUD005692508,Violation of Article 10 - Freedom of expression -{General} (Article 10-1 - Freedom of expression)
apps:6528/11,6528/11,A.C. and Others v. Spain,6528/11,1,6528/11,22 April 2014,2014,002-9536,3,,,2|3|13|35|35-1|46|46-2,,ESP,,"A.C. and Others v. Spain, no. 6528/11, 22 April 2014",1,5,1,a94e3bc7e2bf,Article 13,20230911235824,20250619163138,20230911235824__guide_art_13_eng.pdf,20250619163138__guide_art_13_eng.pdf,matched,application_subset_name_year,6528/11,9,A.C. and Others v. Spain,6528/11;6529/11;6530/11;6559/11;6562/11;6569/11;6572/11;6574/11;6586/11;6590/11;6595/11;6602/11;6605/11;6869/11;6875/11;19730/11;19739/11;19766/11;19774/11;19783/11;19791/11;19796/11;19837/11;19846/11;19854/11;19913/11;19920/11;19951/11;61912/12;62497/12,CLIN,ENG,2014-04-22T00:00:00,22/04/2014 00:00:00,,,Preliminary objection joined to merits and dismissed (Article 35-1 - Exhaustion of domestic remedies);Remainder inadmissible;Violation of Article 13 - Right to an effective remedy (Article 13 - Effective remedy);Respondent State to take individual measures (Article 46-2 - Individual measures)
apps:15457/20,15457/20,A.C. v. France*,15457/20,1,15457/20,16 January 2025,2025,001-241500,2,,,35|35-3-a|8|8-1|13|13+8-1|41,,FRA,,"A.C. v. France*, no. 15457/20, 16 January 2025",2,2,1,e19a063de5b3,Immigration,20250602002516,20251122094224,20250602002516__guide_immigration_eng.pdf,20251122094224__guide_immigration_eng.pdf,matched,exact_application_set,15457/20,5,CASE OF A.C. v. FRANCE,15457/20,HEJUD,ENG,2025-01-16T00:00:00,16/01/2025 00:00:00,23,ECLI:CE:ECHR:2025:0116JUD001545720,Remainder inadmissible (Art. 35) Admissibility criteria;(Art. 35-3-a) Manifestly ill-founded;(Art. 35-3-a) Ratione materiae;Violation of Article 8 - Right to respect for private and family life (Article 8 - Positive obligations;Article 8-1 - Respect for private life);No violation of Article 13+8-1 - Right to an effective remedy (Article 13 - Effective remedy) (Article 8 - Right to respect for private and family life;Positive obligations;Article 8-1 - Respect for private life);Non-pecuniary damage - award (Article 41 - Non-pecuniary damage;Just satisfaction)
